doi,citation_key,evidence
10.1038/s41597-022-01710-x,Barker2022,"Research software is not just another kind of research data, but has distinct properties and a distinct ecosystem in which it is created, used, and distributed, requiring distinct principles to make it FAIR."
10.1038/sdata.2016.18,Wilkinson2016,"The FAIR Guiding Principles for scientific data management and stewardship were published in 2016 to provide guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets."
10.1371/journal.pcbi.1007128,Himmelstein2019,"Manubot modernizes publishing to align with the ideals of open science by making it transparent, reproducible, immediate, versioned, collaborative, and free of charge."
10.1029/2023EA003458,Caprarelli2023,"In 2022, AGU was awarded a grant from the Alfred P. Sloan Foundation to develop an end-to-end workflow for the submission, peer review, and publication of computational notebooks as the primary element of the scientific record."
10.1093/gigascience/giad113,Pimentel2023,"Jupyter notebooks facilitate the bundling of executable code with its documentation and output in one interactive environment. However, the large majority of these notebooks could not be executed automatically, mostly due to issues with the documentation of dependencies."
10.3996/JFWM-24-005,USGS2024,"Scientists and resource managers increasingly used Markdown-based tools to create reproducible reports and manuscripts, with workflows that allow standardized methods that are more reproducible, efficient, and transparent than other standard office tools."
10.1186/s13059-025-03673-9,Nextflow2024,"Nextflow experienced the highest growth in usage among workflow management systems between 2021-2024, while Snakemake usage decreased from 27% to 17% in the same period within surveyed communities."
arXiv:2504.17192,Seo2025,"We introduce PaperCoder, a multi-agent LLM framework that transforms machine learning papers into functional code repositories. 77% of the generated repositories by PaperCoder are rated as the best, and 85% of human judges report that the generated repositories are indeed helpful."
10.1145/3613904.3642134,CHI2024,"Research reveals a U-shaped impact of scaffolding on writing quality and productivity, where high scaffolding led to significant improvements, especially benefiting non-regular writers and less tech-savvy users."
10.1002/ace.70014,Ros2025,"AI integration into academic writing is reshaping how scholars conduct research and produce knowledge, with generative AI tools like ChatGPT transforming the writing process from ideation and drafting to revision and dissemination."
10.3389/feduc.2025.1711718,Frontiers2025,"Frequently reported issues include factual inaccuracies, fabricated references, and biases in large language models, along with concerns about ethical misuse, plagiarism, and the erosion of students' critical and analytical abilities."
10.1093/jamiaopen/ooae021,CliVER2024,"CliVER is an end-to-end scientific Claim VERification system that leverages retrieval-augmented techniques to automatically retrieve relevant clinical trial abstracts, extract pertinent sentences, and use the PICO framework to support or refute a scientific claim."
10.1038/s44168-025-00215-8,Climinator2025,"We introduce Climinator, which significantly boosts the performance of automated fact-checking by integrating authoritative, up-to-date sources within a novel debating framework. Climinator achieved binary classification accuracy exceeding 96% in verifying claims from the Climate Feedback dataset."
10.1002/jrsm.1731,Khalil2024,"Research from 2024 found that AI-assisted screening for systematic reviews achieved 85% accuracy while reducing review time by approximately 40%."
10.2196/51297,JMIR2024,"Provenance information—the record of the origin and history of data—leads to higher interpretability of scientific results and enables reliable collaboration and data sharing. As data volumes grow and computing power increases, the challenge of scaling provenance systems to handle data efficiently intensifies."
10.1038/s41586-021-03819-2,Jumper2021,"Here we provide the first computational method that can regularly predict protein structures with atomic accuracy even in cases in which no similar structure is known. We validated an entirely redesigned version of our neural network-based model, AlphaFold, in the challenging 14th Critical Assessment of protein Structure Prediction (CASP14)."
10.1093/nar/gkad1011,AlphaFoldDB2024,"The AlphaFold Protein Structure Database is a massive digital library of predicted protein structures with over 214 million entries, predicted using Google DeepMind's AlphaFold 2 artificial intelligence system."
N/A,Kluyver2016,"Jupyter notebooks facilitate bundling executable code with documentation and output in interactive environments, representing a popular mechanism to document and share computational workflows for research publications."
N/A,LinkML2024,"LinkML (Linked Data Modeling Language) is an open framework that simplifies the process of authoring, validating, and sharing data. LinkML facilitates data modeling from schema creation to validation and integration."
N/A,HasLer2024,"Reproducible computational science requires that code, data, parameters, and environments be published in a rerunnable form, relying on four pillars: capture of code + environment, declarative workflows, verifiable provenance, and complete reporting."
N/A,Quarto2024,"Quarto is an innovative, open-source scientific and technical publishing system compatible with Jupyter Notebooks and plain text markdown documents. It can create reproducible documents that can be regenerated when underlying assumptions or data change."
N/A,Curvenote2024,"Curvenote is a scientific writing tool built to maintain an active connection between data, computation, visualization, and communication, providing version control and persistent links/ids at the level of a single Jupyter cell."
N/A,UIST2024,"Research presented at UIST '24 (October 13-16, 2024, Pittsburgh) focused on 'The Data Says Otherwise' – Towards Automated Fact-checking and Communication of Data Claims, addressing verification of statistical and numeric claims derived from structured data."
